id,title,artists,album,album_id,year,genre,duration_ms,added_at,available,content_warning
35779028,Так горит степь,Соль земли,О лютой ненависти и святой любви,27331447,2017,rap,329270,2024-02-24T10:30:43+00:00,True,
91857574,Фонари,Гансэлло,Фонари,18341594,2021,rusrock,243680,2024-02-23T17:26:32+00:00,True,
25229764,Весь мир идёт на меня войной,25/17,Весь мир идёт на меня войной,2969534,2015,rusrap,267000,2024-02-21T18:46:15+00:00,True,explicit
15826554,Грозный?,"D-MAN 55, M-Town",Коллективное сверхсознательное,1725126,2013,rusrap,187000,2024-02-20T18:57:49+00:00,True,
35779021,День когда вскипят океаны,Соль земли,О лютой ненависти и святой любви,27331447,2017,rap,322320,2024-02-19T13:56:07+00:00,True,explicit
15826556,Депеша,"D-MAN 55, Ант",Коллективное сверхсознательное,1725126,2013,rusrap,177950,2024-02-18T17:33:12+00:00,True,
19910103,Человек-поступок,ГРОТ,На связи,2241639,2014,rusrap,199100,2024-02-18T17:18:31+00:00,True,
178494,Crawling,Linkin Park,Hybrid Theory,18111,2000,numetal,208960,2024-02-17T16:54:20+00:00,True,
18697015,Моя крепость,"25/17, Миша Маваши, МАВАШИ group",Межсезонье,1273576,2011,rusrap,177580,2024-02-16T07:46:28+00:00,True,explicit
118366595,Sarà perché ti amo,"Ricchi E Poveri, Luca-Dante Spadafora",Sarà perché ti amo,27809524,2023,techno,134600,2024-02-15T06:11:34+00:00,True,
43104875,Don't Speak,GLASS TIDES,Don't Speak,5725829,2018,alternative,177190,2024-02-14T06:04:22+00:00,True,
98034129,20,MACAN,20,20293561,2022,rusrap,164130,2024-02-14T05:52:21+00:00,True,
95752206,Русская-народная,"Gfam, Светлана Боголей",Русская-народная (prod. by NIKITA BAKHTIN),19548032,2021,rusrap,184790,2024-02-12T17:00:09+00:00,True,
104457307,300 кг тротила,Fintura,300 кг тротила,22478927,2025,dance,202000,2024-02-12T16:34:08+00:00,True,explicit
119221310,МЕЖДУ НАМИ,GRILLYAZH,МЕЖДУ НАМИ,28195731,2023,ruspop,121140,2024-02-12T05:48:56+00:00,True,
87346400,Зима в сердце,Моя Мишель,Из цветов и темноты,24284922,2022,ruspop,245180,2024-02-11T19:58:22+00:00,True,
335286,Fairytale,Александр Рыбак,Fairytale,6029635,2009,pop,183650,2024-02-11T19:55:42+00:00,True,
9962693,CAN YOU FEEL MY HEART,Vamp,CAN YOU FEEL MY HEART,39262463,2025,pop,228250,2024-02-11T19:48:01+00:00,True,
40063,Give It To Me,"Timbaland, Justin Timberlake, Nelly Furtado",Shock Value,3323,2007,rap,234000,2024-02-11T19:47:41+00:00,True,explicit
121694265,ДРУГОЕ ТУТ НЕВОЗМОЖНО,GRILLYAZH,ДРУГОЕ ТУТ НЕВОЗМОЖНО,29300681,2024,ruspop,114000,2024-02-01T03:40:09+00:00,True,
119955070,А по тёмным улицам гуляет дождь,"Groove, Босиком по солнцу",А по тёмным улицам гуляет дождь,28511476,2023,ruspop,123430,2024-01-30T19:52:01+00:00,True,
79676303,Фарарей,MAUR,Фарарей,14508208,2021,rusrap,165560,2024-01-29T18:02:24+00:00,True,explicit
120104752,Ты футбольный хулиган,МАКСИ ГРИН,Ты футбольный хулиган,28577255,2023,rusrap,154780,2024-01-29T17:40:23+00:00,True,
115337071,Я косынку завяжу,ЛИМИТ-ARMY,Я косынку завяжу,26530055,2023,rock,201730,2024-01-28T16:37:37+00:00,True,
117708580,Молодой,UGAROV,Молодой,27524389,2023,rusrap,143130,2024-01-27T09:24:48+00:00,True,
121543125,Спой,"A.V.G, MACAN",Спой,29234884,2024,rusrap,145210,2024-01-25T22:01:34+00:00,True,
108591168,Матушка,Татьяна Куртукова,У истока,33866043,2024,ruspop,172990,2024-01-25T06:30:45+00:00,True,
107157726,WANDERER,MELERY,FUNCTION,23462237,2022,relax,170660,2024-01-23T06:48:09+00:00,True,
116752264,Maybe We Are Not Crazy,DEVILNOTCRY,EDMWRLD,37701885,2023,electronics,117650,2024-01-23T06:21:29+00:00,True,
113944547,Босиком,Monte&Manula,Босиком,25907178,2023,ruspop,148880,2024-01-23T06:18:09+00:00,True,
103749182,BLACKBERRY,"NEEL, KOREL, B3NZIN",BLACKBERRY,22232010,2022,rusrap,157750,2024-01-23T06:10:28+00:00,True,explicit
107703267,Пули,KEDR,Пули,23659172,2022,rusrap,110000,2024-01-23T04:21:33+00:00,True,explicit
106338495,Катятся слезы,Monte&Manula,Катятся слезы,23164137,2022,dance,123420,2024-01-22T15:40:40+00:00,True,
115828806,Соколка,"Юрà, РОДНАЯ РЕЧЬ, Хор Сретенского монастыря",Соколка,26734018,2023,rusrap,284000,2024-01-22T13:07:21+00:00,True,
117131963,Dying 2 Live,Big Baby Tape,VARSKVA,28255531,2023,rusrap,161680,2024-01-20T14:38:56+00:00,True,explicit
117546881,PLANET,"Амора, EDWXRDX",PLANET,27454073,2023,phonkgenre,135110,2024-01-20T11:35:32+00:00,True,
108864836,Путь,"JUIZY ISLAND, SYNTICAT, RACOONA, ПЕВЧАЯ",Таврида.АРТ. 2022,24070265,2022,ruspop,174720,2024-01-20T11:10:27+00:00,True,
117178610,Я горю,Полынь Folk,Я горю,27289530,2023,folk,170960,2024-01-20T10:43:06+00:00,True,
119111142,ЛА-ЛА-ЛА,"f0lk, GRILLYAZH",V.O.L.G.A,28145817,2023,rusrap,121320,2024-01-20T10:34:46+00:00,True,
120095287,Согрею,YOUCHI,Согрею,28573530,2023,rusrap,229510,2024-01-17T16:51:22+00:00,True,
119269334,Миражи,"hehehe, ask eternity",Миражи,29511815,2024,rusrock,158090,2024-01-17T16:36:41+00:00,True,
17311410,Comatose,Skillet,Awake,1908313,2010,alternative,293850,2024-01-16T19:19:01+00:00,True,
106019402,Никаких проблем,IVAN VALEEV,Никаких проблем,23043471,2022,ruspop,142370,2024-01-16T15:17:03+00:00,True,
64365947,Под утро,CAPTOWN,Под утро,10332344,2020,rusrap,205440,2024-01-16T15:08:23+00:00,True,explicit
76622100,Kazak,Etman,Kazak,13563068,2021,pop,152250,2024-01-14T20:16:18+00:00,True,
117801237,Поле,РОДНАЯ РЕЧЬ,Соколка,27565423,2023,rusrap,185040,2024-01-14T20:13:38+00:00,True,
62120394,Космодром,Dzetta,Человек в космосе,5972812,2018,electronics,247760,2024-01-14T20:10:18+00:00,True,
45499132,Карусель,"V $ X V PRiNCE, Tony Tonite",A$sorti,12135364,2019,rusrap,210020,2024-01-14T19:55:18+00:00,True,
18696983,Полеты,25/17,Песни о любви и смерти,1276871,2012,rusrap,184360,2024-01-13T13:45:12+00:00,True,explicit
120163382,Не терять,DronGo,Не терять,28603104,2023,rusrap,169610,2024-01-13T13:42:26+00:00,True,explicit
66325486,Astronomia,Tony Igy,Astronomia,10804139,2016,edmgenre,207620,2024-01-13T08:15:17+00:00,True,
114977282,Соколка,РОДНАЯ РЕЧЬ,Соколка,26379970,2023,rusrap,226280,2024-01-12T15:11:58+00:00,True,
2191823,Levitate,Hollywood Undead,American Tragedy,2012934,2010,alternativemetal,204190,2024-01-10T13:56:14+00:00,True,explicit
4304914,I’ll BE GONE,Linkin Park,LIVING THINGS,488133,2012,numetal,211090,2024-01-10T13:51:53+00:00,True,
112172425,Shambala,M.E.O.W,Shambala,25176601,2023,rap,147870,2024-01-10T13:40:13+00:00,True,explicit
114170778,ИДОЛ,Gudium,ИДОЛ,26008034,2023,rusrap,157090,2024-01-10T08:07:02+00:00,True,
116648832,Добрый воин,РОДНАЯ РЕЧЬ,Добрый воин,27075655,2023,rusrap,202750,2024-01-10T08:03:04+00:00,True,
112292730,Водоворот,UGAROV,Водоворот,25223788,2023,rusrap,158620,2024-01-10T05:30:38+00:00,True,
60529947,Пока пламя догорает,Kotvitsky,Пока пламя догорает,9357332,2019,rusrap,148530,2024-01-09T07:01:16+00:00,True,
89616427,СВОБОДА,Kotvitsky,СВОБОДА,17600546,2021,rock,142540,2024-01-07T19:58:12+00:00,True,explicit
81131098,RUN RUN RUN,VTORNIK,RUN RUN RUN,14956320,2021,rusrap,97640,2024-01-07T19:46:11+00:00,True,explicit
106595028,Холодная весна,25/17,Одолень,23255928,2022,rusrap,185310,2024-01-07T18:08:35+00:00,True,explicit
110126700,Тушите свет,"Koles & Paha, PVA",Тушите свет,24418970,2022,rap,138240,2024-01-06T17:26:21+00:00,True,explicit
118618026,"Там, где я","Aarne, ALBLAK 52, Баста",AA LANGUAGE 2,27928024,2023,rusrap,151800,2024-01-06T17:14:33+00:00,True,explicit
103602248,молоды,dlb,молоды (buzsquez remix),22182346,2022,electronics,198540,2023-12-30T21:34:34+00:00,True,explicit
86050065,Kostroma,DJ DimixeR,Kostroma,16491458,2021,dance,145000,2023-12-30T17:05:48+00:00,True,
106422441,VADA KOPA,EGOPIUM,VADA KOPA,23194565,2022,dance,148360,2023-12-30T17:04:28+00:00,True,
105749382,Studzianki,GARATZ,Studzianki,22942549,2022,electronics,188370,2023-12-30T16:58:08+00:00,True,
116471899,НЕ УГАСАЙ,VEYS,НЕ УГАСАЙ,26996063,2023,ruspop,125980,2023-12-30T16:43:47+00:00,True,explicit
116365999,Dale Don,Hermeth,Turbo Flemme,26949103,2023,electronics,218570,2023-12-30T01:11:32+00:00,True,
119077275,Кума,TMNV,Кума,28131882,2023,electronics,178280,2023-12-19T18:33:38+00:00,True,
111300104,PORUSHKA,EGOPIUM,PORUSHKA,24853169,2023,dance,178000,2023-12-18T16:45:34+00:00,True,
98299205,Ойся ты ойся,Духовность,Ойся ты ойся,34321801,2024,folk,244920,2023-12-17T10:07:31+00:00,True,
109340202,Ай да Россия,HELVEGEN,Нет пути назад,24205680,2022,folkrock,210490,2023-12-16T20:19:52+00:00,True,
81292189,Заря,TMNV,Семь действий,15027317,2021,electronics,196100,2023-12-16T19:53:18+00:00,True,explicit
105243036,На златом крыльце,ХВОЯ,На златом крыльце,22756279,2022,rusfolk,148940,2023-12-16T18:39:13+00:00,True,
111524618,Мак,Kasha,Мак,24931885,2023,folkgenre,159230,2023-12-16T18:31:53+00:00,True,
89536067,Речушечка,TMNV,Речушечка,17575437,2021,electronics,167640,2023-12-16T18:29:12+00:00,True,
59267623,Порушка,"Oligarkh, FOLKBEAT",В леску / Порушка,9068324,2019,rusfolk,193620,2023-12-16T18:25:32+00:00,True,
45519765,Во горнице,Живица,Миру мир,30916356,2016,folk,141690,2023-12-16T18:21:33+00:00,True,
43279917,Как по травкам,Uzoritsa,Uzoritsa 2018,5754941,2018,rusfolk,175800,2023-12-16T18:12:32+00:00,True,
25854602,Напрямки,Рогатый колоколъ,Пуще прежнего,3061406,2015,rusrock,208860,2023-12-16T17:16:59+00:00,True,
87719395,"Ой, на дворе дождь",ХВОЯ,"Ой, на дворе дождь",16986797,2021,rusfolk,107630,2023-12-16T17:07:24+00:00,True,
108174016,ДВИНУЛСЯ НА ТЕБЕ,"GRILLYAZH, Кишлак",ДВИНУЛСЯ НА ТЕБЕ,23824715,2022,ruspop,146470,2023-12-12T07:24:03+00:00,True,explicit
92133060,Dad Vibes,Limp Bizkit,STILL SUCKS,19078802,2021,numetal,132200,2023-12-11T18:51:17+00:00,True,
116816279,NXSTY BLOOD 2,"Wels, PLXYAE",NXSTY BLOOD 2,27143710,2023,electronics,91840,2023-12-06T18:59:27+00:00,True,explicit
90557776,Kill The Noise,Papa Roach,Kill The Noise,17914059,2021,numetal,188120,2023-12-06T18:59:07+00:00,True,explicit
72443017,На территории всей страны,25/17,ВСПОМНИТЬ ВСЁ. Часть 1. Чтиво,12460810,2019,rusrap,219200,2023-12-05T10:02:46+00:00,True,
72443005,2-5-1-7,25/17,ВСПОМНИТЬ ВСЁ. Часть 1. Чтиво,12460810,2019,rusrap,154060,2023-12-03T15:07:57+00:00,True,explicit
106597497,ОГНЕЙ,SALUKI,WILD EA$T,25511786,2023,rusrap,181920,2023-12-01T21:40:33+00:00,True,explicit
114001824,Образ лезгинка,NETSIGNALA,Образ лезгинка,25931888,2023,pop,126660,2023-12-01T08:53:04+00:00,True,
69356593,Лъапэрисэ,Амиран,Лъапэрисэ,11595413,2020,folk,206350,2023-11-28T05:17:59+00:00,True,
110198249,LAST CHRISTMAS,"Karry_b, Karry_b, speed up songs, Speed Up Songs",LAST CHRISTMAS,38894114,2025,pop,203220,2023-11-19T13:27:43+00:00,True,
113268471,верните в моду любовь,две тысячи ярдов,на восьмом жду с нетерпением,25627730,2023,rusrock,131660,2023-11-13T19:27:15+00:00,True,
68109478,They Fall,Alec Koff,Resistance,11259405,2020,rock,139000,2023-11-13T17:13:57+00:00,True,
92748167,BREAK YOUR NECK,L19U1D,RAGE,18618724,2021,phonkgenre,116860,2023-11-13T10:46:55+00:00,True,
106894276,Атмосферно,две тысячи ярдов,Настройка дезориентации в пространстве,23362902,2022,alternative,92280,2023-11-09T03:52:40+00:00,True,explicit
72291230,Быстро повзрослел,Lizer,"Молодость, Ч. 1",12491744,2020,rusrap,168480,2023-11-09T03:49:00+00:00,True,
178624,The Sharpest Lives,My Chemical Romance,The Black Parade,21917,2006,alternative,200880,2023-11-07T15:15:18+00:00,True,
170105,Given Up,Linkin Park,Minutes to Midnight,154525,2007,numetal,189290,2023-11-07T14:54:44+00:00,True,explicit
71248589,Верю в лучшее,HENSY,Верю в лучшее,12119047,2020,ruspop,122470,2023-11-06T16:50:00+00:00,True,
